id,product_type,name,code,description,unit_type,unit_weight,unit_weight_type,status,category
269,Resin,,50099204,33MM OUTER CAPS WHITE (MAS),Pcs,3.7,Grams,Active,FG
270,Resin,,50099205,38MM OUTER CAPS WHITE(MAS),Pcs,4.1,Grams,Active,FG
271,Resin,,50099205,38MM OUTER CAPS WHITE(MAS),Pcs,4,Grams,Active,FG
272,Resin,,50099205,38MM OUTER CAPS WHITE(MAS),Pcs,4.1,Grams,Active,FG
273,Resin,,50099205,38MM OUTER CAPS WHITE(MAS),Pcs,4.1,Grams,Active,FG
274,Resin,,50099205,38MM OUTER CAPS WHITE(MAS),Pcs,4.1,Grams,Active,FG
275,Resin,,50099311,B-10ML EX.RG O.GREEN 16C(L)-NS,Pcs,3.7,Grams,Active,FG
276,Resin,,50099315,B-10ML EX.RG NATURAL 16C(L)-NS,Pcs,3.7,Grams,Active,FG
277,Resin,,50099318,B-10ML EX.RG WHITE 16C (L)-NS,Pcs,3.7,Grams,Active,FG
278,Resin,,50099332,33MM CRIII INNER CAPS NAT(MAS),Pcs,3.16,Grams,Active,FG
279,Resin,,50099332,33MM CRIII INNER CAPS NAT(MAS),Pcs,3.16,Grams,Active,FG
280,Resin,,50099333,33MM INNER CAPS NATURAL(MAS),Pcs,3,Grams,Active,FG
281,Resin,,50099333,33MM INNER CAPS NATURAL(MAS),Pcs,3,Grams,Active,FG
282,Resin,,50099333,33MM INNER CAPS NATURAL(MAS),Pcs,3,Grams,Active,FG
283,Resin,,50099333,33MM INNER CAPS NATURAL(MAS),Pcs,2.8,Grams,Active,FG
284,Resin,,50099333,33MM INNER CAPS NATURAL(MAS),Pcs,3,Grams,Active,FG
285,Resin,,50099334,38MM INNER CAPS NATURAL(MAS),Pcs,3.5,Grams,Active,FG
286,Resin,,50099334,38MM INNER CAPS NATURAL(MAS),Pcs,3.5,Grams,Active,FG
287,Resin,,50099334,38MM INNER CAPS NATURAL(MAS),Pcs,3.5,Grams,Active,FG
288,Resin,,50099594,B-10ML RG WHITE 1840H (L)-NS,Pcs,3.7,Grams,Active,FG
289,Resin,,50099594,B-10ML RG WHITE 1840H (L)-NS,Pcs,3.7,Grams,Active,FG
290,Resin,,50099858,C-TS RSP GRN(373C)R2 2.0(H)-NS,Pcs,2.26,Grams,Active,FG
291,Resin,,50099878,N-RISDROP 45MLTR INSERT WT,Pcs,0.18,Grams,Active,FG
292,Resin,,50099878,N-RISDROP 45MLTR INSERT WT,Pcs,0.18,Grams,Active,FG
293,Resin,,50100127,C-DOUBLESAFE NX RED (H)-NS,Pcs,1.71,Grams,Active,FG
294,Resin,,50100127,C-DOUBLESAFE NX RED (H)-NS,Pcs,1.71,Grams,Active,FG
295,Resin,,50100254,C-TAMP SAFE RSP P.GREEN (H)-NS,Pcs,2.26,Grams,Active,FG
296,Resin,,50100911,B-5ML RSP P.GREEN (L)-NS,Pcs,2.95,Grams,Active,FG
297,Resin,,50100914,N-OPEN RSP P.GREEN(L)-NS,Pcs,0.49,Grams,Active,FG
298,Resin,,50100914,N-OPEN RSP P.GREEN(L)-NS,Pcs,0.49,Grams,Active,FG
299,Resin,,50101364,C-DOUBLESAFE NX MRN 224669 -NS,Pcs,1.73,Grams,Active,FG
300,Resin,,50101368,N-28mcl SUSPENSION NAT APL-NS,Pcs,0.44,Grams,Active,FG
